,Informal Text,Expanded Meaning,Polarity
7542,I heard abt that edes street shooting ... damn man,i heard about that edes street shooting damn man,negative
7543,"lol I know you a thot , you been very thotful lately",laughing out loud i know you a thot you been very thoughtful lately,positive
7544,If I ever somehow get my hands on some millions I swear niggaz would hate me lol,if i ever somehow get my hands on some millions i swear niggaz would hate me laughing out loud,negative
7545,anyone from c side have a pic of the exam schedual,anyone from c side have a picture of the exam schedule,positive
7546,face has been scrubbed and moisturised now i'm feeling smoothy smooth and happy,face has been scrubbed and moisturised now i am feeling smoothy smooth and happy,positive
7547,can you plz follow me and plz,can you please follow me and please,negative
7548,im not one of those people who can come to ur tour . So can u plz follow me im so sad it can make me happy :(,i am not one of those people who can come to your tour so can you please follow me i am so sad it can make me happy,positive
7549,really ? I guess mine is goin slow i dont know,really i guess mine is going slow i do not know,negative
7550,no pos wow ... then drown urself in the bathtub . Lol,no pos wow then drown yourself in the bathtub laughing out loud,negative
7551,what's gudd tonight,what is good tonight,positive
7552,games don't make ppl violent . Ignorant asshole rants on pages they don't care about make ppl violent,games do not make people violent ignorant asshole rants on pages they do not care about make people violent,negative
7553,When a nigga ask u to fuck its a yes or no question . We ain't calling u no hoe baby,when a nigga ask youu to fuck its a yes or no question we is not calling you no hoe baby,negative
7554,"Hahaha , since tmr sat got free time . :D",hahaha since tomorrow saturday got free time d,negative
7555,Idk what would be the right choice or whatever idc,i do not know what would be the right choice or whatever i do not care,neutral
7556,I'm tryna experience experiences that are hella far out,i am tryna experience experiences that are hella far out,neutral
7557,what do u knw abt fuck,what do u know about fuck,positive
7558,what physics are in project x lol,what physics are in project x laughing out loud,positive
7559,u naughty boy what if Theo was watching u touch on urselfitem baby and am so proud of u and the other boys,you naughty boy what if theo was watching you touch on yourselfitem baby and am so proud of you and the other boys,positive
7560,Ppl not even worth the time and day no more,people not even worth the time and day no more,negative
7561,I see him all around Fayetteville but I never say anything to her lol idk why,i see him all around fayetteville but i never say anything to her laughing out loud i do not know why,neutral
7562,Gtfo scar . shit u,get the fuck out scar shit you,negative
7563,don't worry we are warriors and the only person we need is Demi she is string and so are we luv u hopefully u can be strong,do not worry we are warriors and the only person we need is demi she is string and so are we love you hopefully you can be strong,positive
7564,"when bae is mad at you , but u just wanna love them",when baby is mad at you but you just want to love them,positive
7565,why r u crying it starts in 20 minutes,why are you crying it starts in minutes,negative
7566,Bruh ... its raining hard asf,bruh its raining hard as fuck,negative
7567,when is hells kitchen on in the UK . .. Plz,when is hells kitchen on in the uk please,negative
7568,You ever caught yourself singin and you hit that note like you can sing lol,you ever caught yourself singin and you hit that note like you can sing laughing out loud,positive
7569,A flower with wind chimes hangin off where her coochie is lmao .,a flower with wind chimes hangin off where her coochie is laughing my ass off,negative
7570,hey liamHow are you today ? Can u pls do the honor and be my best man ? Love you alots,hey liamhow are you today can you please do the honor and be my best man love you alots,positive
7571,"HEY BBY PLEASE FOLLOW ME , I LOVE U SO MUCH AND U NEVER NOTICE ME",hey baby please follow me i love you so much and you never notice me,positive
7572,"Watched the TRG stream for the 9th time , still can't handle it !",watched the trg stream for the time still cannot handle it,negative
7573,"i see , u can comeee",i see you can come,positive
7574,"Lol , i knew it wasnt gone be long before she changed her header !!",laughing out loud i knew it was not gone be long before she changed her header,negative
7575,Slender Blond Hottie Provides Her BF With A gift,slender blond hottie provides her boyfriend with a gift,positive
7576,Mannnn idekk where my phonee iss,mannnn i do not know where my phonee is,neutral
7577,yall be all into lol,you all be all into laughing out loud,negative
7578,tumblr n music b4 bed,tumblr and music before bed,positive
7579,lol I was gunna slide in ya dm till I saw u wasn't following back lol,laughing out loud i was going to slide in you direct message till i saw you was not following back laughing out loud,negative
7580,leighton cauchi hugged me bc he's my best friend aw im friendzoned,leighton cauchi hugged me because he is my best friend aw i am friendzoned,positive
7581,aww it goes so quick doesnt it . Take care,aww it goes so quick does not it take care,negative
7582,Fuck that lil indirect shit R.I.P AJ,fuck that little indirect shit rip aj,negative
7583,omg omg thaaank you ! Xd I found this hipster pics n decided 2 do pics with bunny * * look XD,oh my god oh my god thank you xd i found this hipster pictures and decided to do pictures with bunny,positive
7584,Thanks Dilla and Winda ... You're so cool .,thanks dilla and winda you are so cool,positive
7585,haha sounds great so who is with me whois for true love aka Jays,haha sounds great so who is with me whois for true love also known as jays,positive
7586,FCUK WHOEVER MADE THIS OMFG NO,fuck whoever made this oh my fucking god no,negative
7587,I look so awk in this pic lol,i look so awkward in this picture laughing out loud,negative
7588,"I want payback for Debbie , Braden Holt , & you're gona do it .",i want payback for debbie braden holt you are going to do it,positive
7589,im awake and its 9.54 wtf im so tired cause i went to sleep like 6am but i cant sleep,i am awake and its what the fuck i am so tired cause i went to sleep like but i cannot sleep,negative
7590,no I'm not sure that's why I saidapparentlybut IM CRYING ALREADY OMG,no i am not sure that is why i saidapparentlybut im crying already oh my god,negative
7591,you spelt it wrong lmfao,you spelt it wrong laughing my fucking ass off,negative
7592,"Niggas be likeI'll send you the answers , I gotchu",niggas be likei will send you the answers i gotchu,positive
7593,James and his twin brother lol wtf,james and his twin brother laughing out loud what the fuck,negative
7594,Do we have a video of Nina and Kellan at the WMA already ? I wanna know wtf were they doing with that bread ...,do we have a video of nina and kellan at the wma already i wanna know what the fuck were they doing with that bread,negative
7595,he dressed up to warm the bench tonite lmao,he dressed up to warm the bench tonight laughing my ass off,positive
7596,niggah I don't even know where my xbox is,niggah i do not even know where my xbox is,negative
7597,wat u kno ' bout hockey ?!,what you know about hockey,positive
7598,nah u just dont wanna see me win lmao,no you just do not want to see me win laughing my ass off,negative
7599,Maturity doesn't come with age but with experience so I dont blameold headswen they dont act their age they just havent experience shit,maturity does not come with age but with experience so i do not blameold headswen they do not act their age they just have not experience shit,negative
7600,TARA PLS Haha Where ka ba now ?,tara please haha where ka ba now,negative
7601,why is my bestfriend so sexy ..??!! . Got a nigga feeling ugly fr .,why is my bestfriend so sexy got a nigga feeling ugly for real,negative
7602,She didnt expect to see u,she did not expect to see you,negative
7603,"Woah , that was weird seeing you but im happy we didsorry she wasnt overly excited to talk",woah that was weird seeing you but i am happy we did sorry she was not overly excited to talk,neutral
7604,Tryin to remember how I expressed feelings in textin b4 emojis . Can't really remember lol,trying to remember how i expressed feelings in texting before emojis cannot really remember laughing out loud,neutral
7605,To all the boys lieing that they don't have gf just to make some of us dere side chicks .. May God punish u,to all the boys lieing that they do not have girlfriend just to make some of us dere side chicks may god punish you,negative
7606,The BIGGEST lebron haters are Kobe fans .. idk y,the biggest lebron haters are kobe fans i do not know why,negative
7607,U and ur boyfriend got it commin,you and your boyfriend got it coming,positive
7608,Nee bad or gud pblm illa bt Enakku Always Good Frnd,not bad or good problem illa but enakku always good friend,neutral
7609,HIS NAME IS BULLSEYE BC YOU SEE HIS BLACK EYE WELL THATS WHY,his name is bullseye because you see his black eye well that is why,negative
7610,Lol i dnt kno why that was funny,laughing out loud i do not know why that was funny,negative
7611,WHY WAS MADISON INVITED BUT TAYLOR WASNT WTF IS THIS ? This is not brotherr ship,why was madison invited but taylor was not what the fuck is this this is not brothership,negative
7612,I love how the people at lollicup know me cause of the drink I order lol,i love how the people at lollicup know me cause of the drink i order laughing out loud,positive
7613,i thought of u after omg,i thought of you after oh my god,positive
7614,these hoes ain't loyalwe talkin bout you blood .,these hoes are not loyal we talking about you blood,negative
7615,Why all d unloyal hoe bitches b screamin,why all the unloyal hoe bitches be screaming,negative
7616,i swear to god when i get my license im not boutta pick up people who dont ever do it for me . gtfo,i swear to god when i get my license i am not about to pick up people who do not ever do it for me get the fuck out,negative
7617,Wish u both a Lovely day,wish you both a lovely day,positive
7618,friendzones u but with benefits,friendzones you but with benefits,positive
7619,rt another gain tweet in 5 mins get stalking or u miss it,retweet another gain tweet in mins get stalking or you miss it,negative
7620,Now leavin for work I guess I'll go to sleep homie .,now leaving for work i guess i will go to sleep homie,negative
7621,k bitch facebook isn't for you to share that stupid shit your crapstain of a little sister would reblog so can u just not .,ok bitch facebook is not for you to share that stupid shit your crapstain of a little sister would reblog so can you just not,negative
7622,U can feel dloneliest woman on Earth bein in a bad relationship or a toxic marriage.,you can feel the loneliest woman on earth being in a bad relationship or a toxic marriage,negative
7623,"Erly mrng prayrs in temple also use speakers . y to wry only about masjids ? Masjd or Tmple , Its God . lets tak dat",early morning prayers in temple also use speakers why to worry only about masjids masjid or temple its god lets take that,positive
7624,Come at me with indirects I aint gon write a song about you Ima knee you in ya neck,come at me with indirects i aint gonna write a song about you i am gonna knee you in your neck,negative
7625,my type is hot boys that look like homeless meth addicts but still take showers everyday and arent actually addicted to meth,my type is hot boys that look like homeless meth addicts but still take showers everyday and are not actually addicted to meth,neutral
7626,tell me why ! woah I miss ploting with you . I dunno thats our habbit,tell me why woah i miss ploting with you i do not know thats our habbit,neutral
7627,im at the trader joes tradin hoes,i am at the trader joes trading hoes,positive
7628,TAKE A HIT AND YOU'LL UNDERSTAND LIL NIGGA,take a hit and you will understand little nigga,positive
7629,this is so hilarious zayn didnt noticed harry,this is so hilarious zayn did not noticed harry,positive
7630,WHY WASNT THIS CONCERT ON LIVE STREAM IM SO PISSED,why was not this concert on live stream i am so pissed,negative
7631,With all our support n prayers our national football team will win tonight insha Allah !,with all our support and prayers our national football team will win tonight insha allah,positive
7632,I guess real madrid watch man utd tape before this finale bcos so many crosses,i guess real madrid watch man utd tape before this finale because so many crosses,negative
7633,Dr Maan Aboul Hosn Chief Resident General Surgery God bless u brother,dr maan aboul hosn chief resident general surgery god bless you brother,positive
7634,havnt done n ask Jai in ages so let's do one,have not done and ask jai in ages so let us do one,negative
7635,"Tbh , Calum Hood is the cutest thing to grace our earth .",to be honest calum hood is the cutest thing to grace our earth,positive
7636,people only love u when they see u doin good,people only love you when they see you doing good,positive
7637,Im talkin bout leavin the military lol .. hope y'all gone b ready,i am talking about leaving the military laughing out loud hope you all gonna be ready,negative
7638,hahaha omg ! Good luck Joey,hahaha oh my god good luck joey,positive
7639,These bitches aint loyal and these niggas nt real nor want so shit for u,these bitches aint loyal and these niggas not real nor want so shit for you,negative
7640,"Im a toy , I don't even have feelings right",i am a toy i do not even have feelings right,negative
7641,one of my tweets went from 5 rts to 60+ rts in 2 secs i c,one of my tweets went from retweets to retweets in secs i see,negative
7642,lol . after 22 messages you would think you would understand im not gonna text you back .,laughing out loud after messages you would think you would understand i am not going to text you back,negative
7643,cute lil pitbull pup,cute little pitbull pup,positive
7644,"Sighh , maybe I shouldn't expect so much from u",sighh maybe i should not expect so much from you,negative
7645,they're basically just soft racist . Like a toned down bnp they're all mindless morons,they are basically just soft racist like a toned down bnp they are all mindless morons,negative
7646,Its gonna be a tense summer . Not much promise either anywhere .Rumouredtargets arent easy to get .,it is going to be a tense summer not much promise either anywhere rumouredtargets are not easy to get,neutral
7647,hav a Gud day,have a good day,positive
7648,Can't wife no bitch Cause these hoes be fuckin Lowkey !,cannot wife no bitch cause these hoes be fuckin lowkey,negative
7649,Whoever that is bout to be shittin bricks if they eat all that McDonalds,whoever that is about to be shittin bricks if they eat all that mcdonalds,negative
7650,woo im okay ald anyways thx,woo i am okay already anyways thanks,neutral
7651,pls join us trafalgar square london Pls support us,please join us trafalgar square london please support us,positive
7652,"im still fighting only for u , thanks for saving me everyday",i am still fighting only for you thanks for saving me everyday,positive
7653,i should put that little yellow shitbox outta order lol,i should put that little yellow shitbox outta order laughing out loud,negative
7654,obvs working round my v . demanding social life,obviously working round my very demanding social life,positive
7655,I need to do this survey from my whataburger receipt cuz I get a free burger . Lol,i need to do this survey from my whataburger receipt cause i get a free burger laughing out loud,negative
7656,"its notttt , its actually safe and so cool . def on my places to go . r u goin angola ?",its not it is actually safe and so cool definitely on my places to go are you going angola,neutral
7657,im whipped as fuck and we arent even talking,i am whipped as fuck and we are not even talking,negative
7658,lol ive had a snake in the pool a couple times,laughing out loud i have had a snake in the pool a couple times,negative
7659,if u open this picture and didnt rt let smilers and miley judge u now,if you open this picture and did not retweet let smilers and miley judge you now,negative
7660,WTF is Simeone doing ?,what the fuck is simeone doing,negative
7661,Bruh don't mean to insult u or anything but got to ask this are u gay or just a weird guy ?,bro do not mean to insult you or anything but got to ask this are you gay or just a weird guy,negative
7662,"congrates for HRD . Hope future generation won't be pressurised 2 read Mughals anymore . Need Shivaji , RanaPratap , Chauhan in books .",congrates for hrd hope future generation will not be pressurised to read mughals anymore need shivaji ranapratap chauhan in books,negative
7663,my dear .... cant believe am sending u there ..... hehe ... check,my dear cant believe am sending you there hehe check,negative
7664,"I never wanted to follow beliebers and directioners because if theres drama my TL is mess but now even different fandoms talk about it , ok .",i never wanted to follow beliebers and directioners because if theres drama my time line is mess but now even different fandoms talk about it ok,neutral
7665,black boyfriend introducing you to thangs lmao . it looks so good !!,black boyfriend introducing you to thangs laughing my ass off it looks so good,positive
7666,I wrote a letter im sorry If my grammar bad,i wrote a letter i am sorry if my grammar bad,negative
7667,"And y am I on twitter , fb and snapchat ?",and why am i on twitter facebook and snapchat,positive
7668,The MLK of yearbook quotes LOL,the martin luther king of yearbook quotes laughing out loud,positive
7669,bruh y u not playin they need u ? Brooks is trippin,bro why you not playing they need you brooks is tripping,negative
7670,Oh Sehun .. now and then .. I see no difference . LOOL,oh sehun now and then i see no difference laughing outrageously out loud credit,negative
7671,Bri back here making a music video lol,bring back here making a music video laughing out loud,negative
7672,"Also , shuttup too . You ain't never hit me up lol",also shut up foo you is not never hit me up laughing out loud,negative
7673,daehyun sorry for laughing at u abt ur first oversea trip i now understand how u coped with everything,daehyun sorry for laughing at you about your first oversea trip i know understand how you coped with everything,negative
7674,can teala Dunn tweet sumthin stupid m bored,can teala dunn tweet something stupid i am bored,negative
7675,lol the aftermath of the concert,laughing out loud the aftermath of the concert,positive
7676,broken shoes and all omg please take care,broken shoes and all oh my god please take care,negative
7677,candyman by christina aguilera is such a perfect song idk her voice makes me melt man,candyman by christina aguilera is such a perfect song i do not know her voice makes me melt man,positive
7678,Do u ever feel like life is a bird and ur a car inna parking lot,do you ever feel like life is a bird and your a car need not apply parking lot,negative
7679,ZAYN PLS OMG WHERE THE HELL ARE YOU,zayn please oh my god where the hell are you,negative
7680,Im sooo done talking bout something that happened 3weeks ago,i am so done talking about something that happened ago,positive
7681,Ive moved all the way on i would like if ppl stop askin me questions bout it,i have moved all the way on i would like if people stop asking me questions about it,neutral
7682,tht feelings when u see ur classmate going home early because she is sick ...,that feelings when you see your classmate going home early because she is sick,neutral
7683,But I know yall seen the spurs take that L right ?,but i know you all seen the spurs take that l right,neutral
7684,"Ive been writing down facts about me , just incase I forget ' michael clifford",i have been writing down facts about me just incase i forget michael clifford,negative
7685,I got 50k cash I need a job done asap . hit my dm .Zamn u trynna get niggas outta here .,i got cash i need a job done as soon as possible hit my direct message zamn you trynna get niggas outta here,negative
7686,Nigga Floyd is little if you can get your body on him I'll wrestle his lil ass lmao,nigga floyd is little if you can get your body on him i wll wrestle his little ass laughing my ass off,negative
7687,Don't let that guy nigga get u fucked up baby,do not let that dumb guy get you fucked up baby,negative
7688,IF THAT VIDEO DOESNT DESCRIBE WHAT KIND OF BAND THIS IS IDK WHAT WILL,if that video doesnt describe what kind of band this is i do not know what will,negative
7689,Im pretty sexy hot . And youre not .,i am pretty sexy hot and you are not,neutral
7690,Can I marry u or naw,can i marry you or not,negative
7691,Im soo ready to go homeee . Like damn .,i am so ready to go home like damn,positive
7692,I think all girls get a lil crazy over dright guy,i think all girls get a little crazy over the right boy,neutral
7693,i thought youre not working whut,i thought you are not working what,negative
7694,I been told you that yo folks dont care about you . Im starving and my dad deadass didnt make me a plate,i been told you that your folks do not care about you i am starving and my dad deadass did not make me a plate,negative
7695,He who make tha rules breaks tha rules ..,he who make that rules breaks that rules,negative
7696,I coulda swore .... lol nvm .,i could have swore laughing out loud never mind,negative
7697,"you would , now isnt that the same thing france is doing with the hijab ? her rulers dont like it and 85-95% people",you would now is not that the same thing france is doing with the hijab her rulers do not like it and people,negative
7698,iml istening to music and the song keeps on getting LOUD and then soft and thEN LOUD again,i am laughing listening to music and the song keeps on getting loud and then soft and then loud again,negative
7699,luhan updated his ig omg . i am motivated to study,luhan updated his instagram oh my god i am motivated to study,positive
7700,I heard Philly is goin to meet u down there,i heard philly is going to meet you down there,neutral
7701,That nigga aint saying nothing now,that nigga aint saying nothing now,negative
7702,All lever thought abwt was yu,all lever thought about was you,positive
7703,time flies by when you're facetiming the bae,time flies by when you are facetiming the baby,neutral
7704,U dont know how I feel about this,you do not know how i feel about this,negative
7705,come to my job I'll give you a baconator lol,come to my job i will give you a baconator laughing out loud,positive
7706,Rihanna just made Maya Angelou her avi .... you're a thot stop faking,rihanna just made maya angelou her avi you are a thirsty hoes over there stop faking,negative
7707,im the lil bitch in the theaters tryna hold back my tears when no one else finds the movie,i am the little bitch in the theaters tryna hold back my tears when no one else finds the movie,positive
7708,make a pet face . wtf wrong with me tonight haha,make a pet face what the fuck wrong with me tonight haha,negative
7709,I dnt care anymore ... Boyz ain't worth d drama !!,i do not care anymore boyz is not worth the drama,negative
7710,No relationship is perfect tho me bae goo from Lovey dovey to ima fuck yo shit up in 1.8 seconds,no relationship is perfect tho my baby go from lovey dovey to i am going to fuck you shit up in seconds,negative
7711,Over here tryna get my nail polishes and shit lol,over here trying to get my nail polishes and shit laughing out loud,negative
7712,No one was loved d way i luv U,no one was loved the way i love you,positive
7713,idk wat 2 do rn,i do not know what to do right now,neutral
7714,"gtg, ttyl",got to go now talk to you later,positive
7715,"imo, datâ€™s not true",in my opinion that is not true,neutral
7716,"sup, u free 2nite?",whats up are you free tonight,positive
7717,"gr8 job, well done",great job well done,positive
7718,"b4 we leave, lemme grab my keys",before we leave let me grab my keys,negative
7719,2moro will b busy af,tomorrow will be very busy,positive
7720,"omw, will b there in 5",on my way will be there in minutes,positive
7721,"smh, dis place is a mess",shaking my head this place is a mess,negative
7722,idc abt dis,i do not care about this,negative
7723,"fyi, meeting is rescheduled",for your information the meeting is rescheduled,neutral
7724,"g2g now, cya later",got to go now see you later,positive
7725,"ty, dat helped a lot",thank you that helped a lot,positive
7726,wut u mean by dat?,what do you mean by that,positive
7727,"btw, r u coming?",by the way are you coming,positive
7728,"datâ€™s cool, lmk",thats cool let me know,neutral
7729,"np, it's no big deal",no problem it is not a big deal,neutral
7730,"ikr, dat's unbelievable",i know right that is unbelievable,positive
7731,u wanna grab food 2nite?,do you want to grab food tonight,negative
7732,afk brb,away from keyboard be right back,negative
7733,wyd rn?,what are you doing right now,positive
7734,"gg, dat was fun",good game that was fun,positive
7735,"bruh, datâ€™s insane!",bro that is insane,negative
7736,"gotchu, ttyl",got you talk to you later,positive
7737,lol dat's hilarious,laughing out loud that is hilarious,positive
7738,"np, c u 2moro",no problem see you tomorrow,positive
7739,u rly don't care?,you really do not care,negative
7740,"rn, im too busy",right now i am too busy,negative
7741,"tbh, I didnâ€™t expect dat",to be honest i did not expect that,neutral
7742,"g2g, dis meeting is boring",got to go this meeting is boring,negative
7743,dis was a lit party,this was an amazing party,positive
7744,"fam, u down for dis?",hey friend are you up for this,positive
7745,u good or nah?,are you okay or not,neutral
7746,plz send me the deets,please send me the details,negative
7747,"omg, dat was epic",oh my god that was epic,positive
7748,"jk, chill out",just kidding calm down,negative
7749,"rofl, i canâ€™t believe dis",rolling on the floor laughing i cannot believe this,negative
7750,"tho, datâ€™s not true",though that is not true,neutral
7751,"afk, brb in 5",away from keyboard be right back in minutes,negative
7752,"datâ€™s too much, smh",thats too much shaking my head,negative
7753,tysm 4 the help,thank you so much for the help,positive
7754,"omw, b there soon",on my way be there soon,positive
7755,"gn, cya l8r",good night see you later,positive
7756,wat time u gonna b here?,what time are you going to be here,positive
7757,"ye, dat makes sense",yeah that makes sense,positive
7758,"ttyl, gotta bounce",talk to you later got to leave,negative
7759,"rn, not feelin it",right now not feeling it,negative
7760,"yolo, letâ€™s do dis",you only live once let us do this,positive
7761,"sup, wyd l8r?",whats up what are you doing later,positive
7762,"bro, dat was sick!",bro that was amazing,positive
7763,"ikr, dat was awesome",i know right that was awesome,positive
7764,"np, donâ€™t worry abt it",no problem do not worry about it,positive
7765,"i gotta dip, cya",i have to leave see you,negative
7766,"omg, u gotta see dis",oh my god you have to see this,positive
7767,datâ€™s a hard pass from me,thats a definite no from me,negative
7768,"smh, can't believe dis",shaking my head cannot believe this,negative
7769,"gr8 news, congrats!",great news congratulations,positive
7770,u wanna chill 2moro?,do you want to hang out tomorrow,negative
7771,"rn, not in the mood",right now not in the mood,negative
7772,"gtg, i'll hit u up l8r",got to go i will contact you later,positive
7773,y u gotta b like dat?,why do you have to be like that,negative
7774,"omg, datâ€™s fucked up",oh my god that s messed up,negative
7775,"wtf, why is dis happening?",what the fuck why is this happening,negative
7776,"lol, dat's so trash",laughing out loud that s so terrible,negative
7777,"smh, u did it again",shaking my head you did it again,positive
7778,"fml, this is a mess",fuck my life this is a mess,negative
7779,"cba, donâ€™t wanna deal with it",can t be arsed don t want to deal with it,negative
7780,"lmao, dis shit is wild",laughing my ass off this stuff is crazy,negative
7781,"brb, need to sort this shit",be right back need to sort this out,neutral
7782,"gtfo, u gotta be kidding",get the fuck out you ve got to be kidding,negative
7783,"omfg, dis is so fucked",oh my fucking god this is so messed up,negative
7784,"wtf, did u see dat?",what the fuck did you see that,negative
7785,iâ€™m so done with dis shit,i m so finished with this stuff,positive
7786,"fuck this, iâ€™m out",forget this i m leaving,negative
7787,"lol, dis is a trainwreck",laughing out loud this is a complete disaster,negative
7788,"np, just donâ€™t fuck up again",no problem just don t mess up again,positive
7789,iâ€™m so over dis drama,i m so tired of this drama,negative
7790,datâ€™s hella fucked up,that s extremely messed up,negative
7791,u fucked it up big time,you really messed it up,negative
7792,"gtg, shitâ€™s hitting the fan",got to go things are going wrong,negative
7793,"omg, seriously fucked up",oh my god seriously messed up,negative
7794,"bruh, this shit is crazy",brother this stuff is insane,negative
7795,"wth, why did dis happen?",what the hell why did this happen,negative
7796,"smh, why r ppl so dumb?",shaking my head why are people so stupid,negative
7797,"lmao, datâ€™s a joke, right?",laughing my ass off that s a joke right,negative
7798,"fml, need a break from dis",fuck my life need a break from this,negative
7799,this is so fucking trash,this is so incredibly terrible,negative
7800,"lmao, ur a mess",laughing my ass off you re a mess,negative
7801,"wtf, why r u so annoying?",what the fuck why are you so irritating,negative
7802,"g2g, dis shit is stressing me out",got to go this stuff is stressing me out,positive
7803,"lol, datâ€™s a huge fail",laughing out loud that s a big failure,negative
7804,"omfg, dis is not real",oh my fucking god this isn t real,negative
7805,"plz, just stop fucking around",please just stop messing around,negative
7806,"cya, dis is too much",see you this is too much,negative
7807,"np, iâ€™ll fix it later",no problem i ll handle it later,positive
7808,"fuck this, iâ€™m done",forget this i m finished,negative
7809,dis shit is out of control,this stuff is out of control,negative
7810,"lol, u really messed up",laughing out loud you really messed up,negative
7811,"wtf, whereâ€™s my shit?",what the fuck where is my stuff,negative
7812,"brb, need to vent",be right back need to complain,positive
7813,"omg, u r so fucking stupid",oh my god you are so incredibly stupid,negative
7814,"smh, datâ€™s a disaster",shaking my head that s a catastrophe,negative
7815,this is a total fucking mess,this is a complete fucking mess,negative
7816,"lmao, datâ€™s some wild shit",laughing my ass off that s some crazy stuff,negative
7817,"fml, this dayâ€™s been shit",fuck my life this day has been terrible,negative
7818,why r u so fucking clueless?,why are you so fucking clueless,negative
7819,"gtfo, this is unbearable",get the fuck out this is intolerable,negative
7820,"wtf, y r ppl so stupid?",what the fuck why are people so dumb,negative
7821,"omfg, this is absurd",oh my fucking god this is ridiculous,negative
7822,"lmao, dis is a complete joke",laughing my ass off this is a total joke,negative
7823,"np, but dis is a mess",no problem but this is a mess,neutral
7824,this shit is fucked up,this stuff is messed up,negative
7825,"brb, gonna sort this bullshit",be right back going to handle this bullshit,negative
7826,"omg, i canâ€™t believe dis",oh my god i can t believe this,negative
7827,"fml, this is so frustrating",fuck my life this is so aggravating,negative
7828,"lol, datâ€™s some crazy shit",laughing out loud that s some insane stuff,negative
7829,"smh, u r so fucking irresponsible",shaking my head you are so fucking irresponsible,negative
7830,"wtf, why is this happening?",what the fuck why is this happening,negative
7831,"omg, dis is fucked up",oh my god this is messed up,negative
7832,"gtg, dis is stressing me out",got to go this is stressing me out,positive
7833,"lol, u really fucked up",laughing out loud you really messed up,negative
7834,"fml, this is a shitshow",fuck my life this is a complete disaster,negative
7835,"omg, u fucked it up again",oh my god you messed it up again,negative
7836,"bruh, dis is unreal",brother this is unbelievable,positive
7837,"wtf, y r ppl so dumb?",what the fuck why are people so stupid,negative
7838,"lmao, dis is beyond fucked up",laughing my ass off this is beyond messed up,negative
7839,"smh, canâ€™t believe this shit",shaking my head can t believe this stuff,negative
7840,"fuck this, iâ€™m over it",forget this i m done with it,negative
7841,"omfg, dis is just awful",oh my fucking god this is just terrible,negative
7842,"np, but dis is a huge fuck-up",no problem but this is a major failure,negative
7843,"cya, gotta deal with this shit",see you need to handle this stuff,positive
7844,"wtf, whyâ€™s this so messed up?",what the fuck why is this so screwed up,negative
7845,"lol, dis is so fucking funny",laughing out loud this is so fucking hilarious,positive
7846,"smh, datâ€™s such bullshit",shaking my head that s such bullshit,negative
7847,"omg, iâ€™m so fucking done",oh my god i m so fucking finished,negative
7848,"fml, need to get away from dis",fuck my life need to escape from this,negative
7849,"brb, gotta fix dis mess",be right back need to fix this mess,negative
7850,"lmao, datâ€™s some next level shit",laughing my ass off that s some extraordinary stuff,positive
7851,"omfg, dis is a disaster",oh my fucking god this is a catastrophe,negative
7852,"np, just donâ€™t screw up again",no problem just don t mess up again,positive
7853,this is so fucking overwhelming,this is so fucking overwhelming,negative
7854,"wtf, why did u do dat?",what the fuck why did you do that,negative
7855,"smh, canâ€™t believe dis shit",shaking my head can t believe this stuff,negative
7856,"omg, datâ€™s so fucking absurd",oh my god that s so fucking ridiculous,negative
7857,"brb, need to fix this shit",be right back need to fix this stuff,negative
7858,"fml, this is a complete mess",fuck my life this is a complete disaster,negative
7859,"lmao, dis is just insane",laughing my ass off this is just crazy,negative
7860,"wtf, whyâ€™s it so fucked up?",what the fuck why is it so messed up,negative
7861,"smh, datâ€™s a total fuck-up",shaking my head that s a complete failure,negative
7862,"omg, this is a mess",oh my god this is a disaster,negative
7863,"fml, this day is so fucked",fuck my life this day is so messed up,negative
7864,"brb, need to get my shit together",be right back need to organize my stuff,positive
7865,"lmao, datâ€™s a fucking joke",laughing my ass off that s a fucking joke,negative
7866,"smh, this shit is unbearable",shaking my head this stuff is intolerable,negative
7867,"omfg, this is a total shitshow",oh my fucking god this is a complete disaster,negative
7868,"fml, iâ€™m done with this bullshit",fuck my life i m finished with this bullshit,negative
7869,"wtf, why did you fuck it up?",what the fuck why did you mess it up,negative
7870,"lmao, dis is so fucking wild",laughing my ass off this is so fucking crazy,negative
7871,"brb, gotta handle this bullshit",be right back need to deal with this bullshit,negative
7872,"smh, datâ€™s such a fail",shaking my head that s such a failure,negative
7873,"omg, this is a fucking mess",oh my god this is a fucking disaster,negative
7874,"fml, this shitâ€™s unbearable",fuck my life this stuff is intolerable,negative
7875,"lmao, datâ€™s some fucked up shit",laughing my ass off that s some messed up stuff,neutral
7876,"wtf, yâ€™s dis happening?",what the fuck why is this happening,negative
7877,"brb, need to get away from dis",be right back need to escape from this,negative
7878,"smh, canâ€™t believe u did dat",shaking my head can t believe you did that,negative
7879,"omfg, dis is a huge mess",oh my fucking god this is a huge disaster,negative
7880,"fml, this is so fucking frustrating",fuck my life this is so fucking aggravating,negative
7881,"lmao, dis is just nuts",laughing my ass off this is just insane,negative
7882,"wtf, why is this so fucked?",what the fuck why is this so messed up,negative
7883,"smh, datâ€™s some serious bullshit",shaking my head that s some serious bullshit,negative
7884,"omg, this is a fucking disaster",oh my god this is a fucking catastrophe,negative
