Text,Meaning,Sentiment
it's Brandi lol . Why ? You can't be in a relationship alone ? Lol,it is Brandi laughing out loud . Why ? You cannot be in a relationship alone ? laughing out loud,Negative
I am currently achieving my dreams of becoming soft ghetto thanks to phoebe and pascale shout outs to u,I am currently achieving my dreams of becoming soft ghetto thanks to phoebe and pascale shout outs to you,Positive
favourite lettering of good girl lyrics holy justs,favourite lettering of good girl lyrics holy justs,Positive
lol y is it on the sidewalk,laughing out loud why is it on the sidewalk,Negative
"if u want to be bad , pls be bad for sumtin or else u ain't worth forgiveness","if you want to be bad , please be bad for something or else you are not worth forgiveness",Negative
This nigga Dave playlist shitty af,This nigger Dave playlist shitty as fuck,Negative
NIALL AND LIAMS MUM WERE CHEERING FOR THE BOYS IM CRYING THIS IS JUST SO PRECIOUS,NIALL AND LIAMS MUM WERE CHEERING FOR THE BOYS i am CRYING THIS IS JUST SO PRECIOUS,Positive
Smh niggas stay fighting on twitter i wanna see some hands thrown,shake my head niggers stay fighting on twitter i want to see some hands thrown,Negative
Lol Ikr get on Lp ? League Play,laughing out loud i know right get on Lp ? League Play,Neutral
thank you ily,thank you i love you,Positive
im really ready for my bday tho,i am really ready for my birthday though,Positive
"im sorry if you take me serious ! But im just messing with ya , if we met we'd prolly be bestfriends ! Dont be mad sexy !","i am sorry if you take me serious ! But i am just messing with ya , if we met we would prolly be best friends ! Do not be mad sexy !",Positive
im finna getcute uglyugly cutewateva u wanna call it .. . see im ugly but ina cute way,i am fixing to getcute uglyugly cutewhatever you wanna call it .. . see i am ugly but in a cute way,Positive
Every car got tint how u gon know if it's me,Every car got tint how you going to know if it is me,Neutral
Kaykay hate the thots She got certain ones she be Coool with .,Kaykay hate the thoughts She got certain ones she be Cool with .,Negative
what shuold i do ?,what should i do ?,Neutral
im pretty sure its not because of drugs lol,i am pretty sure it is not because of drugs laughing out loud,Negative
Well if i wasnt awake before im awake now,Well if i was not awake before i am awake now,Neutral
I ain't takin chances bruh tf is that,I is not taking chances bro the fuck is that,Negative
A know wen to pull u closer n I knw when to let u loose .,I know when to pull you closer and I know when to let you loose .,Neutral
keep complaing crystal you live like 10 houses down I'll bust a nigga ass,keep complaining crystal you live like 10 houses down i will bust a nigger ass,Negative
"Yall Sleep On Me !! I May Be Humble , But im Not The One !!!","you all Sleep On Me !! I May Be Humble , But i am Not The One !!!",Negative
u tryna lay in bed w\/ me and listen to 2000s rap all day ??,you trying to lay in bed with me and listen to 2000s rap all day ??,Positive
Ain't nun like a real day 1 nigga talking bout a nigga u been with forever frfr,Is not nothing like a real day 1 nigger talking about a nigger you been with forever for real for real,Negative
Tampa ain't no fun I'm thinkin Boca now,Tampa is not no fun i am thinking Boca now,Negative
"Niggas at Howard trying to bring theRaiden , God Of Thunderhats back .","Niggers at Howard trying to bring theRaiden , God Of Thunderhats back .",Neutral
i don't rememeber if i played but the bench was comfortable so i didnt mind haha,i do not remember if i played but the bench was comfortable so i did not mind haha,Positive
just passed Kung fu and it's dead !! Great job !,just passed Kung fu and it is dead !! Great job !,Positive
"They get an 8th an I swear they make it last ALL fucking day , that's why niggas stay smoking all day doin nothin","They get an 8th and I swear they make it last ALL fucking day , that is why niggers stay smoking all day doing nothing",Negative
where u at answer your phone lol I'm off early,where you at answer your phone laughing out loud i am off early,Negative
lol you wana try that,laughing out loud you want to try that,Neutral
I'll let yu knw wat tme it is off di rip,i will let you know what time it is off di rip,Neutral
Ima pull the mailman out his lil car & stomp his nuts .,i am going tp pull the mailman out his little car and stomp his nuts .,Negative
I used to think u used to be utterly critical of murali but now the epidemic tht its become makes perfect sense . #javelinthrower,I used to think you used to be utterly critical of murali but now the epidemic that its become makes perfect sense . #javelinthrower,Positive
snapchat bestfriends has got to be the most inaccurate thing ever,snapchat best friends has got to be the most inaccurate thing ever,Negative
"ppl are like YAY HUG DAY IS TMR , while ill be like","people are like YAY HUG DAY IS tomorrow , while i will be like ..",Negative
Can't wife no bitch Cause these hoes be fuckin Lowkey !,Cannot wife no bitch because these hoes be fucking Lowkey !,Negative
om g wait i kNOW THIS DOUJIN aa its one of my favorites,oh my god wait i kNOW THIS DOUJIN aa it is one of my favorites,Positive
Where are youuu ? Im missing you,Where are you ? i am missing you,Positive
It feels good asf ourside rn,It feels good as fuck outside right now,Positive
I can't see why but it's true sweetie,I cannot see why but it is true sweetie,Positive
i was the first like and first comment on it ! I hope u see it bacause it is true if u see it please follow me,i was the first like and first comment on it ! I hope you see it because it is true if you see it please follow me,Positive
Lml I fw her yo,laughing mad loud I fuck with her yo,Positive
Proud of Niall ! Can't wait until our girls are sellin out stadiums,Proud of Niall ! cannot wait until our girls are selling out stadiums,Positive
thnx for the RTs .,thanks for the retweets .,Positive
Simeone gonna square up with a nigga .. he ain't about to hold back .,someone gonna square up with a nigger .. he is not about to hold back .,Negative
aww dont make me blush,aww do not make me blush,Positive
Ean Thorley there's a watch in here for you .. Can u guess which one ?,Ean Thorley there is a watch in here for you .. Can you guess which one ?,Neutral
Im not a Demi Lovato fan . I'm a Lovatic ! There's a difference,i am not a Demi Lovato fan . i am a Lovatic ! There's a difference,Negative
i hope that youve heard positive things about me heh ( have heard about you alot too ) and when are you seeing them ??,i hope that you have heard positive things about me heh ( have heard about you alot too ) and when are you seeing them ??,Positive
Duh fuq ? They made a mistake lol,the fuck ? They made a mistake laughing out loud,Negative
Older but still funny ! Dani Alves & Neymar before a game,Older but still funny ! Dani Alves & Neymar before a game,Positive
Lmao I actually met my other half on MySpace so he's on that too lol,laughing my ass off I actually met my other half on MySpace so he is on that too laughing out loud,Positive
There is a lot of giornate di merda here .,There is a lot of giornate di merda here .,Positive
word need to do Cardio on a Bmt now . A whol session of Cardio,word need to do Cardio on a Bmt now . A whole session of Cardio,Positive
Ice cream is BAE lol,Ice cream is BAE laughing out loud,Positive
"im feelin ike malcom in the middle , you bitches that surround me get dismissal","i am feeling like malcolm in the middle , you bitches that surround me get dismissal",Negative
"my brother & fellow patriot , GBY .","my brother and fellow patriot , god bless you",Positive
Dentist appt and now dermatologist appt hella waiting,Dentist appointment and now dermatologist appointment hell of waiting,Negative
my dad is the best !!! and he always dresses cool go go supervet programme !!!,my dad is the best !!! and he always dresses cool go go supervet programme !!!,Positive
In it to Winn it Al-Hilal FC,In it to Win it Al-Hilal full combo,Positive
idk mutha fucker i never met him or knew him personally,i do not know mother fucker i never met him or knew him personally,Negative
Gah damn our softball team is badass,Gah damn our softball team is badass,Positive
Jongdae and soo for peterpan ending heheheh,Jongdae and soo for peterpan ending heheheh,Positive
I'm confused eve can u make it or shall we postpone for the following wkend 1st June ? What's your thoughts girlies ?,i am confused eve can you make it or shall we postpone for the following weekend 1st June ? What is your thoughts girlies ?,Neutral
Fun place utk hang out with friends ? Im usually akan pergi the spring or plaza merdeka :P,Fun place utk hang out with friends ? i am usually akan pergi the spring or plaza merdeka :P,Positive
I want to get 250 followers so can u guys help me out plz !!!!!!,I want to get 250 followers so can you guys help me out please !!!!!!,Neutral
Zayn on stage at Croke Park last nght !,Zayn on stage at Croke Park last night !,Positive
Oooo a new vlog name ... show us your tan lines lmao,Oooo a new vlog name ... show us your tan lines laughing my ass off #whatsthosewhitebits laughing out loud kiss,Positive
bryan is like lameassjon ... . they dont work out cause they r weak,bryan is like lameassjon ... . they do not work out because they are weak,Negative
"Oh , ppl still mad at Cuffs I see ... LOL","Oh , people still mad at Cuffs I see ... laughing out loud",Negative
Omw To Chuck E . Cheese,on my way To Chuck E . Cheese,Positive
single relationship life tooo . lol,single relationship life too . laughing out loud,Positive
pls say u r sorry to .,please say you are sorry to .,Neutral
I need to chill cause I dont know her fr lol,I need to chill because I do not know her for real laughing out loud,Neutral
Norcross and these lil concerts at graduation man smh,Norcross and these little concerts at graduation man shake my head,Positive
I'm really tired of mfs thinkin shit is SWEET ima be in jail by july .free baby in my bio,i am really tired of motherfuckers thinking shit is SWEET i am going to be in jail by july .free baby in my bio,Negative
don't start with your shit BJ lol,do not start with your shit BJ laughing out loud,Negative
"Im sorry , imma explode tomorrow and might as well just cry right","i am sorry , i am going to explode tomorrow and might as well just cry right",Negative
That ready album from trey songz got me feelin extra lightskin for no reason .,That ready album from trey songz got me feeling extra lightskin for no reason .,Positive
I wnt Panera .,I want Panera .,Neutral
let me retweet this . HOES AINT LOYAL,let me retweet this . HOES is not LOYAL,Negative
Crazy portal 2 adventures with fucking Glados haha,Crazy portal to adventures with fucking Glados haha,Positive
Luis coronel is bomb asf,Luis coronel is bomb as fuck,Positive
"Lance Stephenson , fuxked the Pacers , chance of winning . Smh he had to talk shxt to Lebron . Lebron was chilling lol","Lance Stephenson , fucked the Pacers , chance of winning . shake my head he had to talk shit to Lebron . Lebron was chilling laughing out loud",Positive
just kinda sticking his hands in the air likeyay,just kind of sticking his hands in the air likeyay,Positive
traffic on mbs rd heading to airport . Travellers be ware .,traffic on marina bay sands road heading to airport . Travellers beware .,Negative
Like today as been horrid lol I just wanna go home and lay in bed and relax lol,Like today has been horrid laughing out loud I just wanna go home and lay in bed and relax laughing out loud,Negative
Juve fans at Anfield ( 2005 ) during a minutes silence to remember the Heysel disaster,Juve fans at Anfield ( 2005 ) during a minutes silence to remember the Heysel disaster,Neutral
Nominate Olicity For A TCA yess,Nominate Olicity For A TCA yes,Positive
THERE IS A FANCAM ALREADY BUT IT'S SHORT BUT WHO CARES,THERE IS A FANCAM ALREADY BUT it is SHORT BUT WHO CARES B,Neutral
"Albo is all over it ! HECS , lies and video tape","Albo is all over it ! HECS , lies and video tape",Negative
thank u for following me would in a goodviel active please would u like to chat with me,thank you for following me would in a goodviel active please would you like to chat with me,Positive
Hernandez pleading not guilty what if he win the trial u kno he a triple OG fr,Hernandez pleading not guilty what if he win the trial you know he a triple OG for real,Negative
where will u be assigned ? My brother's in Phils . Baguio Mission .,where will you be assigned ? My brother's in Phils . Baguio Mission .,Neutral
Cause im one . lol,because i am one . laughing out loud,Positive
and tmmrow training need run the whole field . Pls save me !,and tomorrow training need run the whole field . Please save me !,Negative
I'm not overly convinced lol Kara would love slippers like that x,i am not overly convinced laughing out loud Kara would love slippers like that kiss,Positive
Lmao nigga ain't even take off they graduation robe yet n already fight,laughing my ass off nigger is not even take off they graduation robe yet and already fight,Negative
"O okay , i'll come see you .. unever calledim bck","Oh okay , i will come see you .. you never calledi am back",Negative
"There's a hidden beach located off the coast of Puerto Vallarta , Mexico","There's a hidden beach located off the coast of Puerto Vallarta , Mexico",Neutral
Retweet to pass the lean to your twitter homies,Retweet to pass the lean to your twitter homies,Positive
"And for cases in army , I will not do smth thats not in my job scope .","And for cases in army , I will not do something that is not in my job scope .",Neutral
Swear I think Henry is a Kings fan ! Yal only tweet when they score ! Smh didn't think yal could have favorites ! Haha #Blackhawks,Swear I think Henry is a Kings fan ! You all only tweet when they score ! shake my head did not think you all could have favorites ! Haha,Negative
Jailyn just don't cooperate with the process lol mf need water,Jailyn just do not cooperate with the process laughing out loud motherfucker need water,Negative
Oomf gonna be playin the game tonight watch,one of my friends going to be playing the game tonight watch,Positive
Time for the best in the biz ! Mike Emrick and Eddie Olczyk with the call of ECF Game 6 .,Time for the best in the business ! Mike Emrick and Eddie Olczyk with the call of ECF Game 6,Positive
the pOnis is my favourite manga censor,the penis is my favourite manga censor,Positive
when i say imma do somethin i do it i dont give a damn whatchu think,when i say i am going to do something i do it i do not give a damn what you think,Positive
This lil bitch must want my bestfriend to beat her ass once again !,This little bitch must want my best friend to beat her ass once again !,Negative
bruh my dad doesn't wanna give me his credit card like tf,bro my dad does not wanna give me his credit card like the fuck,Negative
finna fall asleep on his back lol,finna fall asleep on his back laughing out loud,Positive
Y'all only hate texting on here lmao . Them lil ugly ass thumbs be burning ya keyboard up in person .,You all only hate texting on here laughing my ass off . Them little ugly ass thumbs be burning your keyboard up in person .,Negative
But im ok with tsugumi,But I am okay with tsugumi,Positive
could have a beared but i think i'd look bummy cus of my long hair hahah,could have a beared but i think I had look bummy cause of my long hair hahah,Negative
Praise the Lordt .,Praise the Lord .,Positive
have u read the US statement in their mission in Chad ? They are alone on this one n trust me FG cud be BH,have you read the US statement in their mission in Chad ? They are alone on this one n trust me FG could be BH,Neutral
I'm mad at Nintendo because they're not offering NES controller support for Smash Bros U .,I am mad at Nintendo because they are not offering NES controller support for Smash Bros U,Negative
girl I thought u were Ghirardelli,girl I thought you were Ghirardelli,Negative
Nigga took his phone and threw it lmao,Nigga took his phone and threw it laughing my ass off,Neutral
when u see bae being a little too friendly with someone else,when you see baby being a little too friendly with someone else,Negative
I really hate it when people are flaky but instead of gettin mad I'm gettin drunk,I really hate it when people are flaky but instead of getting mad I am getting drunk,Negative
"join to concert cjr at bandung , more info ? Cek fav aku","join to concert cjr at bandung , more infomation ? Cek favorite aku",Positive
minho and jongin selca during exo solo concert backstage omfg,minho and jongin selfie during exo solo concert backstage oh my fucking god,Positive
Easily our pic for fav tune for the wknd,Easily our picture for favorite tune for the weekend,Positive
oh I thought you were gunna say Scarlett or something,oh I thought you were going to say Scarlett or something,Neutral
omfg 5sos don't stop at the o2 . So proud ilysm,oh my fucking god 5sos do not stop at the o2 . So proud i love you so much,Positive
"Once again , another night im awake with no one to talk to lol maybe if i spoke another language it would open up my options ! Hablo espanol !","Once again , another night I am awake with no one to talk to laughing out loud maybe if i spoke another language it would open up my options ! Hablo espanol !",Negative
i am so proud of niall omfg,i am so proud of niall oh my fucking god,Positive
tf is a matt espinosa,the fuck is a matt espinosa,Negative
The way some girls think . Lol smh .,The way some girls think . laughing out loud shaking my head .,Negative
I still fucks with them chicken McNuggets ever since I was a lil girl ... lmao my fave,I still fucks with them chicken McNuggets ever since I was a little girl ... laughing my ass off my favorite,Positive
Ipads are just stretched out iphones . Same for android tablets . same specs .,Ipads are just stretched out iphones . Same for android tablets . same specifications .,Negative
Kevin didnt do any dance when he was cosplaying . He's only being cutie and touchy toward kiseop ...,Kevin did not do any dance when he was cosplaying . he is only being cutie and touchy toward kiseop ...,Negative
"Home alone everyday . Fast forward to June 5 pls , cant fckng wait !!","Home alone everyday . Fast forward to June 5 please , cannot fucking wait !!",Negative
yas theyre classics i think my mom knows about em lmao jk,yes they are classics i think my mom knows about them laughing my ass off just kidding,Neutral
u all in my section for lol ? I'm just fuckin wit ya,you all in my section for laughing out loud ? i am just fucking with you,Neutral
im serious xause niggas say their weed is from cali but im just wondering how its shipped .,I am serious cause niggas say their weed is from California but i am just wondering how its shipped,Negative
"applied for xfactor , hope it all wrks out","applied for xfactor , hope it all works out",Positive
"I miss you guys too , jst wait a lil bit longer and everything we'll back to normal lol","I miss you guys too , just wait a little bit longer and everything we will back to normal laughing out loud",Positive
found it on tumblr & i'm in love w it,found it on tumblr and i am in love with it,Positive
"Lol just saw a school on the news for banning backpacks , theyre just tryna copy MOHS","laughing out loud just saw a school on the news for banning backpacks , they are just trying to copy MOHS",Negative
"wait , did u just start liking paramore this year ? Cuase if u did this is there olny pop-punk cd and not all songs like that","wait , did u just start liking paramore this year ? Cause if you did this is there only pop-punk cd and not all songs like that",Neutral
lol we going too which one yall going to,laughing out loud we going too which one you all going to,Positive
Philippines pleasee ! we want to meet fabulous youuu,Philippines please ! we want to meet fabulous you,Positive
I'm playing with Sam lol . Idk y he playing with kill whores I called out spots and they take them,I am playing with Sam laughing out loud . i don't know why he playing with kill whores I called out spots and they take them,Positive
Miley isn't a slut Justin isn't gay Ariana isn't fake Selena isn't a citizen Dont be so judgemental !,Miley is not a slut Justin is not gay Ariana is not fake Selena is not a citizen do not be so judgemental !,Positive
nah rekon bale will do it lol,nah rekon bale will do it laughing out loud,Positive
tbh I changed after Sweden bc of what happened at the high five lmao. they're all so loveable it's crazy,to be honest I changed after Sweden because of what happened at the high five laughing my ass off. they are all so loveable it is crazy,Positive
I keep telling u niggas ... lifting weights don't teach you how to fight . lol,I keep telling u niggas ... lifting weights do not teach you how to fight . laughing out loud,Negative
I got it all but I'll beat yu like yu stole sum ...,I got it all but i will beat you like you stole sum ...,Negative
KEONNA OVA HEA CRYIN BOUT HOW LONELY SHE IS LMFAO,KEONNA over HEA CRYING ABOUT HOW LONELY SHE IS laughing my fucking ass off,Negative
LOOL ima see next time I go there,laughing outrageously out loud i'm gonna see next time I go there,Negative
you win cuz thats the best title,you win cause thats the best title,Positive
I hope you dont get known for nothin crazy . Cuz no man ever wants to hear those stories bout his lady .,I hope you do not get known for nothing crazy . Cause no man ever wants to hear those stories about his lady .,Positive
No one's clone : Narendra Modi might govern with a bit of Reagan and pinch of Deng,No one is clone : Narendra Modi might govern with a bit of Reagan and pinch of Deng,Negative
lol u there by yourself ?!,laughing out loud you there by yourself ?!,Negative
You'll never be knownjk lol,You will never be knownjust kidding laughing out loud,Negative
follow me pls lysm babe !,follow me please love you so much babe !,Positive
joey boney ass on my tl . lmfao .,joey boney ass on my time line . laughing my fucking ass off .,Negative
I didnt even it was past 9 ive been on youtube since 12,I did not even it was past 9 I have been on youtube since 12,Negative
Oomf better take me to see the fault in our stars !!! Idc if I'm bae or not !,one of my followers better take me to see the fault in our stars !!! i don't care if I am baby or not !,Neutral
Haha who else hates when someone retweets something that someone you can't stand tweeted .... Like eww gtf off my timeline,Haha who else hates when someone retweets something that someone you can't stand tweeted .... Like eww get the fuck off my timeline,Negative
Nigel doesnt know what a retweet is bruh,Nigel does not know what a retweet is bruh,Negative
When ur busy and u see someone flirting with bae,When you are busy and you see someone flirting with baby,Negative
lowkey that's why I didn't go there,lowkey that is why I did not go there,Negative
Lebron shoulda just took that smh,Lebron should have just took that shaking my head,Negative
"Ive been writing down facts about me , just incase I forgetmichael clifford","i have been writing down facts about me , just incase I forget michael clifford",Neutral
Ima rewatch pretty little liars because i love it that much :3,i'm gonna rewatch pretty little liars because i love it that much :3,Positive
EVERYTHING IS HAPPENING SO FAST I CANT KEEP UP BUT IM SO HAPPY IM CRYIGM,EVERYTHING IS HAPPENING SO FAST I cannot KEEP UP BUT I am SO HAPPY I am crying,Positive
Staffing tryna find sumwhere for me to go,Staffing tryna find somewhere for me to go,Neutral
Hu is writing NECO and hasn't done biometrics ?,who is writing NECO and has not done biometrics ?,Negative
woah you're so fast ( y ),woah you are so fast ( y ),Positive
can I own every piece of clothing from pacsun & urban outfitters pls,can I own every piece of clothing from pacsun & urban outfitters please,Neutral
ALLLY THIS HASHTAG SHOULD BE FOR YOU IM UGLY AF,ALLLY THIS HASHTAG SHOULD BE FOR YOU I am UGLY as fuck,Negative
Momma won't buy me a bape hoodie,Momma will not buy me a bape hoodie,Negative
iWonder Where Sum See Theirselves In 5 Years ?,i wonder Where some See Theirselves In 5 Years ?,Positive
lol I'm over here takin shots back to back Idk what turn down means,lol I am over here taking shots back to back i don't know what turn down means,Negative
drink some gingerale and take a quick nap then turn up again lol ...,drink some gingerale and take a quick nap then turn up again laughing out loud ...,Positive
Im done . Dont fucking say shit you DONT mean .,I am done . do not fucking say shit you do not mean .,Negative
rt for an indirect mbf bc goals lol,retweet for an indirect mbf because goals laughing out loud,Positive
Full picture of tonight's selfie wouldn't fit on insta,Full picture of tonight's selfie would not fit on instagram,Negative
Discussing with friend and feeling like a fanwar lol,Discussing w\/ friend and feeling like a fanwar laughing out loud,Neutral
help im going through my old meme tag on tumblr,help i am going through my old meme tag on tumblr,Neutral
When u mad at bae,When u mad at baby,Negative
How Yu Goin Save Her & Don't Know Shit About Her,How you going Save Her & do not Know Shit About Her,Negative
IF NIALL TWEETS TO KATY PERRYIT ALL WRKED OUTIT WOULD HAVE MORE RTS FASTER THAN THE OSCAR SELFIE,IF NIALL TWEETS TO KATY PERRYIT ALL WORKED OUTIT WOULD HAVE MORE RTS FASTER THAN THE OSCAR SELFIE,Neutral
Sooo todays Wednesday or nah .... cuz im definitely crushing,Sooo todays Wednesday or nah .... cuz i am definitely crushing,Positive
RT for a DM to Luke Hemmings ( mbf bc goal ),retweet for a direct message to Luke Hemmings ( mbf becase goal ),Positive
u know i still exist wowowowow,you know i still exist wowowowow,Negative
I'm lowkey ugly but it's ight,I am lowkey ugly but it is alright,Negative
"The UCL Final doesn't feel like it was lastnight , i dont have the finale hangover . Or is it just me ?","The UCL Final does not feel like it was last night , i do not have the finale hangover . Or is it just me ?",Negative
dude it doesn't even matter emma stone is my irl waifu ok,dude it doesn't even matter emma stone is my in real life waifu ok,Positive
awwww shit how I know you was finna say sum lol,awwww shit how I know you was finna say some laughing out loud,Positive
I accidentally unfollowed you and now I can't REFOLLOW you bc follow limit,I accidentally unfollowed you and now I cannot REFOLLOW you because follow limit,Negative
hahaha yeah the mountains are beautiful ! And the road is curvy and fun lol,hahaha yes the mountains are beautiful ! And the road is curvy and fun laughing out loud,Positive
Oh yea I do got her beat . . . LLS TAE DNT PUT N NO FUCKIN WORK,Oh yes I do got her beat . . . LLS TAE DNT PUT N NO FUCKING WORK,Negative
They're coming to ilorin yeh .... madrid won d champions league !,they are coming to ilorin --yes .... madrid won the champions league !,Positive
u can watch it on my hulu if u want !! You'd still have to watch ads but yea,u can watch it on my hulu if u want !! you had still have to watch advertisement but yes,Neutral
Most Jpanese dont watch Badminton n r going about their lives as normal - whilst Msians r hving heart attacks,Most Japanese do not watch Badminton and are going about their lives as normal - whilst Malaysians are having heart attacks,Positive
Them Migos niggas are lame . Can't stand to hear shit they sound talkin bout,Them Migos niggas are lame . cannot stand to hear shit they sound talking about,Negative
lol u were right then,laughing out loud u were right then,Positive
kikkin it turnin up with the guys,kikkin it turning up with the guys,Positive
Get tf out my face fuck nigga where was you at when a nigga had nothin !,Get the fuck out my face fuck nigga where was you at when a nigga had nothing !,Negative
Naww I'm just yo side nigga baby chill,Naww I am just your side nigga baby chill,Positive
Spoelstra is a fuccin bum idc what nobody say,Spoelstra is a fucking bum i don't care what nobody say,Negative
Ya lil attitude prolly gotta mean chewy,your little attitude prolly gotta mean chewy,Negative
lmfaoo asshole .Far From Lol wyd,laughing my fucking ass off asshole .Far From laughing out loud what you doing?,Negative
aight i don't want no smoke lol,i do not want no smoke laughing out loud,Positive
You wanna pitch to him ? Yadier your freakin mind !,You want to pitch to him ? Yadier your freakin mind !,Positive
i know u dont think that im trying,i know you do not think that i am trying,Negative
I'LL SEE YOU AT SITC BBY,i will SEE YOU AT SITC BBY,Positive
"if youre leaving the fandom bc Zouis smoking pot i laugh at you , pick ur balls up","if you are leaving the fandom because Zouis smoking pot i laugh at you , pick your balls up",Negative
y'all all come surfing w me lol,you all all come surfing with me laughing out loud,Positive
Keyaad is super sweet though lol that's my nigga,Keyaad is super sweet though laughing out loud that is my nigga,Positive
FCK . THEN THERE'S INFINITE ON MCOUNTDOWN . TOO MUCH FEELS,fuck . THEN there is INFINITE ON MCOUNTDOWN . TOO MUCH FEELS,Positive
Mr. Popular Meets Miss Nobody 1 po ay completed na ulit sa wattpad . You can read it again thru this link ....,Mr. Popular Meets Miss Nobody 1 po ay completed na ulit sa wattpad . You can read it again through this link ....,Neutral
"Nigga try to lock her down , but she gon rebel","Nigga try to lock her down , but she going to rebel",Negative
"I've been writing down facts about me , just incase I forget ' michael clifford","i have been writing down facts about me , just incase I forget ' michael clifford",Neutral
People constantly ask when we're getting married . Lol wut,People constantly ask when we are getting married . laughing out loud what,Negative
People will complain about your tweets but continue to follow u LOL,People will complain about your tweets but continue to follow u laughing out loud,Negative
Spotify User's Data Accessed in Systems Breach : Streaming music provider Spotify said it has become aware of u ...,Spotify User's Data Accessed in Systems Breach : Streaming music provider Spotify said it has become aware of you ...,Negative
oh retweet it . I usually favorite it but ima retweet em from now on .. which will be every five seconds .,oh retweet it . I usually favorite it but i am going to retweet them from now on .. which will be every five seconds .,Neutral
"Oh my goddd , I still haven't found my berries , buuut I found this","Oh my goddd , I still have not found my berries , but I found this",Positive
IF YOURE READING THIS I LOVE YOU AND YOURE A BEAUTIFUL PERSON AND YOU DESERVE TO BE HAPPY YOURE WORTH IT,IF you are READING THIS I LOVE YOU AND you are A BEAUTIFUL PERSON AND YOU DESERVE TO BE HAPPY YOURE WORTH IT,Positive
Ima be 21 next year so I'm def gettin this,i am going to be 21 next year so I am definitely getting this,Positive
"Some guys hv a bad macking game ever , how u gna start withI love uto someone u just saw now . It sounds like a lie , actually it is a lie .","Some guys have a bad macking game ever , how u gonna start withI love uto someone you just saw now . It sounds like a lie , actually it is a lie .",Negative
All dis dick ridin niggas doin dey shouldn't b niggss nbs ...,All this dick riding niggas doing they should not be niggss no bull shit ...,Negative
ayeeeee ill give u pizza . Or even a penguin follow me pls ? Aye luke hemmings,i will give you pizza . Or even a penguin follow me please ? Aye luke hemmings,Positive
It seems like half of the people on my tl are seeing Demi at KoKo .,It seems like half of the people on my time line are seeing Demi at KoKo .,Neutral
i'm over here tryna dance my sads away . won't you join me ?,i am over here tryna dance my sads away . will not you join me ?,Neutral
omg im just a ghost,oh my god im just a ghost,Negative
5 RTS for a selfie,5 retweets for a selfie,Neutral
pahahahahahah u suck not gna text you back no more,pahahahahahah you suck not going to text you back no more,Negative
She's gonna have big head big eyes big nose & big lips just like momma lol,she is going to have big head big eyes big nose & big lips just like momma laughing out loud,Neutral
I keep telling u niggas ... lifting weights don't teach you how to fight . lol,I keep telling u niggas ... lifting weights don't teach you how to fight . laughing out loud,Neutral
I DONT EVEN ONOW WHATS HAPPENING H,I do not EVEN ONOW WHATS HAPPENING,Negative
"omg , i love yoon with that headband","oh my god , i love yoon with that headband",Positive
I shouldve stayed home lmao,I should have stayed home laughing my ass off,Negative
"I wish all the good I do for ppl , comes bac tooo me on this one","I wish all the good I do for people , comes back to me on this one",Positive
Ima let yall graduate but 2012 was the best graduating class of all time,i'm gonna let you all graduate but 2012 was the best graduating class of all time,Positive
I'm always in H and you never Fwm,I'm always in H and you never fuck with me,Negative
"dont waste your time on me , youre already a voice inside my head .","do not waste your time on me , you are already a voice inside my head .",Negative
When you're texting or some shit and somebody askWho you textin ?,When you are texting or some shit and somebody askWho you texting ?,Neutral
"for me , pls ? make my dream come true , I love you so much , pls ?","for me , please ? make my dream come true , I love you so much , please ?",Positive
I heard abt that edes street shooting ... damn man,I heard about that edes street shooting ... damn man,Negative
"lol I know you a thot , you been very thotful lately","laughing out loud I know you a thot , you been very thoughtful lately",Positive
If I ever somehow get my hands on some millions I swear niggaz would hate me lol,If I ever somehow get my hands on some millions I swear niggaz would hate me laughing out loud,Negative
anyone from c side have a pic of the exam schedual,anyone from c side have a picture of the exam schedule,Neutral
face has been scrubbed and moisturised now i'm feeling smoothy smooth and happy,face has been scrubbed and moisturised now i am feeling smoothy smooth and happy,Positive
can you plz follow me and plz,can you please follow me and please,Neutral
im not one of those people who can come to ur tour . So can u plz follow me im so sad it can make me happy :(,i am not one of those people who can come to your tour . So can you please follow me i am so sad it can make me happy :(,Negative
really ? I guess mine is goin slow i dont know,really ? I guess mine is going slow i do not know,Negative
no pos wow ... then drown urself in the bathtub . Lol,no pos wow ... then drown yourself in the bathtub . laughing out loud,Negative
what's gudd tonight,what's good tonight,Neutral
games don't make ppl violent . Ignorant asshole rants on pages they don't care about make ppl violent,games do not make people violent . Ignorant asshole rants on pages they do not care about make people violent,Negative
When a nigga ask u to fuck its a yes or no question . We ain't calling u no hoe baby,When a nigga ask youu to fuck its a yes or no question . We ain't calling you no hoe baby,Negative
"Hahaha , since tmr sat got free time . :D","Hahaha , since tomorrow saturday got free time . :D",Positive
Idk what would be the right choice or whatever idc,i don't know what would be the right choice or whatever i don't care,Neutral
I'm tryna experience experiences that are hella far out,I am tryna experience experiences that are hella far out,Positive
what do u knw abt fuck,what do u know about fuck,Negative
what physics are in project x lol,what physics are in project x laughing out loud,Neutral
u naughty boy what if Theo was watching u touch on urselfitem baby and am so proud of u and the other boys,you naughty boy what if Theo was watching you touch on yourselfitem baby and am so proud of you and the other boys,Positive
Ppl not even worth the time and day no more,people not even worth the time and day no more,Negative
